predictors,df,gvif
age,1,1.102240723579182
sex,1,1.085779959561479
bmi,1,1.0217610338005483
log_vis_score,1,1.0387213482379911
rrt_group,2,1.235687421171311
aki_max,3,1.3215734509672654
