predictors,df,gvif
age,1,1.0775882682117859
sex,1,1.0205984926644598
bmi,1,1.0065294053304326
log_vis_score,1,1.0307136827446886
pre_cr,1,1.1630545104857855
rrt_group,2,1.1723766284200305
